109.25,18.34,-2.31,-2.48,3.389173941
109.38,18.34,-3.21,-3.43,4.697765426
109.52,18.33,-4.72,-3.43,5.834663658
109.66,18.33,-5.32,-2.92,6.068673661
108.83,18.49,-3.13,-2.51,4.012106679
108.97,18.49,-3.07,-2.31,3.842004685
109.11,18.48,-2.71,-2.01,3.374048014
109.25,18.48,-2.38,-2.71,3.606729821
109.39,18.47,-2.37,-3.52,4.243500913
109.53,18.46,-3.98,-2.78,4.854770849
109.67,18.46,-4.5,-1.95,4.904334817
109.81,18.45,-5.51,-2.11,5.900186438
109.95,18.45,-7.39,-2.27,7.730782625
108.84,18.62,-2.15,-2.61,3.381508539
108.98,18.62,-2.63,-2.58,3.684195977
109.12,18.61,-2.69,-2.61,3.748092848
109.26,18.61,-2.93,-3.21,4.34614772
109.4,18.6,-1.65,-3.15,3.555980877
109.54,18.6,-2.98,-2.45,3.857836181
109.67,18.59,-4.71,-2.18,5.190038536
109.81,18.59,-6.36,-2.35,6.780272856
109.95,18.58,-7.27,-1.63,7.450489917
110.09,18.57,-8.27,-1.17,8.352352962
108.7,18.76,-1.97,-3.05,3.630895206
108.84,18.75,-0.78,-2.96,3.061045573
108.98,18.75,-1.36,-2.88,3.184964678
109.12,18.75,-2.69,-3.2,4.18044256
109.26,18.74,-3.68,-3.53,5.099343095
109.4,18.73,-2.32,-3.41,4.124378741
109.54,18.73,-2.59,-3.24,4.14797541
109.68,18.72,-4.4,-2.8,5.215361924
109.82,18.72,-5.99,-1.65,6.213099066
109.96,18.71,-6.69,-0.58,6.715094936
110.1,18.7,-7.05,-0.47,7.065649298
110.24,18.7,-7.62,-0.3,7.625903225
110.38,18.69,-9.23,0.08,9.230346689
108.71,18.89,-3.1,-3.46,4.645600069
108.85,18.89,-1.05,-3.26,3.424923357
108.99,18.88,-0.75,-4.07,4.138526308
109.13,18.88,-1.8,-4.46,4.809532202
109.27,18.87,-3.66,-3.88,5.333854141
109.41,18.87,-3.45,-3.86,5.177074463
109.55,18.86,-2.76,-3.96,4.826924487
109.69,18.86,-3.21,-2.7,4.194532155
109.83,18.85,-4.14,-0.89,4.234583805
109.97,18.84,-5.29,-0.07,5.290463118
110.11,18.84,-5.78,-0.17,5.78249946
110.25,18.83,-6.11,0.3,6.117360542
110.39,18.82,-7.05,1.1,7.135299573
108.71,19.02,-4.38,-4.06,5.97226925
108.85,19.02,-2.47,-3.88,4.599489102
108.99,19.01,-1.45,-5.12,5.321362607
109.13,19.01,-0.89,-5.54,5.611033773
109.27,19,-2.25,-4.85,5.346494178
109.41,19,-2.58,-4.27,4.988917718
109.55,18.99,-1.91,-3.89,4.333612812
109.69,18.99,-2.03,-2.54,3.251538098
109.83,18.98,-2.84,-1.05,3.027887052
109.97,18.98,-3.95,-0.13,3.952138662
110.11,18.97,-4.43,0.3,4.440146394
110.25,18.96,-4.58,0.6,4.619134118
110.39,18.96,-5.13,1.07,5.240400748
108.72,19.16,-4.77,-5.4,7.205060721
108.86,19.15,-3.55,-4.88,6.034641663
109,19.15,-2.4,-6.08,6.536543429
109.14,19.14,-1.27,-6.42,6.544409828
109.28,19.14,-0.72,-4.68,4.735060718
109.42,19.13,-0.8,-3.22,3.317890896
109.56,19.13,-1.04,-3.03,3.203513696
109.7,19.12,-1.39,-2.44,2.808148856
109.84,19.11,-1.8,-1.12,2.12
109.98,19.11,-2.57,0.01,2.570019455
110.12,19.1,-3.51,0.5,3.545433683
110.26,19.1,-4.01,0.46,4.036297809
110.4,19.09,-4.44,0.49,4.466956458
110.54,19.08,-5.45,0.12,5.451320941
108.72,19.29,-4.43,-6.58,7.93229475
108.86,19.28,-3.74,-5.79,6.892873131
109,19.28,-2.51,-5.79,6.310641806
109.14,19.27,-1.32,-5.4,5.558992715
109.28,19.27,-0.25,-4.17,4.177487283
109.43,19.26,-0.43,-3.19,3.218850727
109.57,19.26,-1.01,-2.6,2.789283062
109.71,19.25,-1.05,-1.72,2.015167487
109.85,19.25,-1.43,-0.76,1.619413474
109.99,19.24,-2.17,-0.32,2.193467574
110.13,19.23,-3.44,-0.22,3.447027705
110.27,19.23,-4.19,-0.12,4.191718025
110.41,19.22,-4.49,-0.3,4.500011111
110.55,19.21,-5.37,-0.87,5.440018382
108.87,19.42,-3.24,-6.37,7.146642568
109.01,19.41,-2.19,-5.39,5.817920591
109.15,19.41,-1.15,-4.77,4.906668931
109.29,19.4,-0.5,-4.04,4.070823013
109.43,19.4,-0.79,-3.47,3.55879193
109.57,19.39,-1.21,-2.68,2.940493156
109.71,19.38,-1.22,-1.78,2.157962002
109.85,19.38,-1.75,-1.3,2.180022936
109.99,19.37,-2.47,-1.1,2.7038676
110.13,19.37,-3.46,-0.97,3.593396722
110.27,19.36,-4.06,-0.83,4.143971525
110.41,19.35,-4.51,-1,4.619534609
110.55,19.35,-5.32,-1.42,5.506250993
109.01,19.54,-1.94,-6.03,6.334390263
109.16,19.54,-1.54,-4.81,5.050514825
109.3,19.53,-0.82,-3.91,3.995059449
109.44,19.53,-1.17,-3.48,3.67141662
109.58,19.52,-1.65,-3.07,3.485312038
109.72,19.52,-1.83,-2.32,2.954877324
109.86,19.51,-2.24,-1.79,2.867350694
110,19.51,-2.69,-1.52,3.089741089
110.14,19.5,-3.27,-1.42,3.565010519
110.28,19.49,-3.87,-1.55,4.168860756
110.42,19.49,-4.36,-1.77,4.705581792
110.56,19.48,-4.8,-1.69,5.088821082
110.7,19.47,-5.69,-1.73,5.947184208
109.3,19.67,-0.94,-4.56,4.655878005
